employee_id,employee_age,employee_gender,department,job_role,monthly_income,years_at_company,years_in_current_role,actual_conversion,predicted_conversion
15440,48.0,1.0,4.0,1.0,58879,5.0,8.0,0,0
13949,35.0,0.0,0.0,2.0,86116,18.0,2.0,0,0
16649,26.0,1.0,2.0,3.0,83062,8.0,4.0,0,0
17810,18.0,0.0,4.0,1.0,66742,13.0,6.0,0,0
12602,56.0,1.0,4.0,3.0,122265,11.0,8.0,1,1
231,,,,,96200,,,1,1
4274,45.0,1.0,0.0,0.0,64611,7.0,9.0,0,0
10471,40.0,0.0,3.0,1.0,82225,8.0,4.0,0,0
11323,19.0,1.0,4.0,3.0,133904,1.0,8.0,1,1
1625,58.0,1.0,3.0,0.0,149236,4.0,9.0,1,1
13420,44.0,1.0,3.0,1.0,124003,17.0,9.0,1,1
4938,32.0,1.0,3.0,1.0,70993,2.0,7.0,0,0
15175,22.0,0.0,1.0,2.0,123949,12.0,7.0,1,1
12083,48.0,1.0,0.0,1.0,69374,13.0,7.0,0,0
5379,52.0,1.0,3.0,1.0,32611,12.0,2.0,0,0
12599,32.0,1.0,2.0,3.0,85674,7.0,10.0,0,0
5603,29.0,0.0,4.0,2.0,75801,9.0,3.0,0,0
2462,64.0,1.0,3.0,3.0,47779,18.0,2.0,1,0
2052,51.0,1.0,1.0,0.0,33973,11.0,9.0,0,0
17580,19.0,1.0,1.0,0.0,92509,12.0,1.0,1,1
14536,52.0,0.0,2.0,2.0,74465,4.0,6.0,0,0
6521,56.0,1.0,4.0,3.0,61380,8.0,6.0,0,0
769,,,,,31063,,,1,0
16327,24.0,0.0,2.0,0.0,31670,12.0,3.0,0,0
7760,34.0,0.0,4.0,0.0,135687,3.0,5.0,1,1
13799,23.0,1.0,0.0,1.0,83665,18.0,6.0,0,0
18790,64.0,1.0,0.0,3.0,69387,3.0,10.0,0,0
3723,49.0,0.0,4.0,0.0,43141,4.0,9.0,0,0
19427,42.0,1.0,3.0,1.0,136760,17.0,9.0,1,1
7029,45.0,0.0,3.0,1.0,47388,6.0,2.0,0,0
3833,30.0,0.0,3.0,2.0,119088,18.0,5.0,1,1
5742,60.0,1.0,4.0,3.0,42856,20.0,8.0,0,0
15519,32.0,1.0,2.0,3.0,147756,8.0,10.0,1,1
13299,21.0,1.0,2.0,0.0,135737,15.0,9.0,1,1
3851,63.0,0.0,1.0,3.0,84401,11.0,3.0,0,0
4347,35.0,0.0,0.0,1.0,144683,2.0,2.0,1,1
17305,38.0,0.0,2.0,1.0,62900,8.0,8.0,0,0
12662,25.0,1.0,0.0,2.0,147027,15.0,8.0,1,1
16535,34.0,0.0,0.0,2.0,75321,11.0,4.0,0,0
14868,58.0,1.0,1.0,3.0,37961,19.0,6.0,0,0
11773,35.0,0.0,2.0,0.0,59566,1.0,5.0,0,0
17495,61.0,0.0,4.0,2.0,88145,20.0,4.0,0,0
18632,45.0,1.0,2.0,3.0,76997,14.0,3.0,0,0
10287,35.0,0.0,2.0,0.0,116374,7.0,6.0,1,1
3707,35.0,0.0,1.0,0.0,128877,12.0,1.0,1,1
2977,54.0,1.0,0.0,1.0,40700,12.0,8.0,0,0
52,,,,,126277,,,1,1
16577,43.0,1.0,3.0,1.0,142118,19.0,9.0,1,1
135,,,,,52663,,,0,0
13788,20.0,0.0,2.0,2.0,107257,20.0,6.0,1,1
9659,23.0,0.0,4.0,1.0,110692,14.0,7.0,1,1
10357,63.0,1.0,4.0,0.0,42964,7.0,6.0,0,0
18554,41.0,1.0,2.0,2.0,72104,11.0,10.0,0,0
4312,50.0,0.0,4.0,1.0,149007,10.0,8.0,1,1
7438,43.0,0.0,2.0,3.0,119905,19.0,7.0,1,1
11881,25.0,1.0,3.0,0.0,43232,17.0,4.0,0,0
10350,65.0,0.0,0.0,1.0,57868,9.0,4.0,0,0
12915,41.0,1.0,2.0,0.0,118208,17.0,1.0,1,1
19124,52.0,0.0,3.0,0.0,33053,2.0,5.0,0,0
11733,51.0,0.0,0.0,3.0,38072,10.0,6.0,0,0
6814,47.0,0.0,1.0,2.0,85806,16.0,7.0,0,0
19524,25.0,0.0,1.0,3.0,145796,3.0,3.0,1,1
2286,38.0,1.0,0.0,3.0,84616,8.0,3.0,0,0
16849,38.0,1.0,2.0,1.0,145043,13.0,10.0,1,1
12057,34.0,1.0,4.0,0.0,140041,18.0,8.0,1,1
9760,45.0,1.0,4.0,1.0,121289,15.0,2.0,1,1
17070,48.0,1.0,4.0,2.0,138379,6.0,4.0,1,1
386,,,,,116832,,,1,1
14018,26.0,0.0,4.0,3.0,103169,12.0,6.0,1,1
5952,26.0,0.0,2.0,0.0,42817,4.0,5.0,0,0
10961,59.0,1.0,2.0,0.0,38124,2.0,4.0,0,0
16768,34.0,0.0,1.0,1.0,50103,19.0,7.0,0,0
8853,32.0,1.0,4.0,2.0,85831,18.0,10.0,0,0
1195,43.0,1.0,4.0,1.0,111265,12.0,8.0,1,1
11162,34.0,0.0,4.0,1.0,122116,17.0,6.0,1,1
18209,56.0,1.0,4.0,1.0,113252,2.0,8.0,1,1
6503,21.0,1.0,0.0,2.0,100745,9.0,8.0,1,1
11811,42.0,0.0,4.0,1.0,105387,11.0,3.0,1,1
2223,41.0,0.0,2.0,3.0,58603,5.0,8.0,0,0
8108,34.0,0.0,0.0,3.0,99323,10.0,3.0,1,1
2191,61.0,1.0,1.0,2.0,56030,2.0,7.0,0,0
19469,32.0,0.0,1.0,1.0,51033,4.0,10.0,0,0
17852,21.0,0.0,1.0,1.0,67322,13.0,7.0,0,0
19902,45.0,0.0,0.0,2.0,42819,13.0,7.0,0,0
17606,52.0,0.0,3.0,2.0,111312,1.0,4.0,1,1
6063,18.0,1.0,2.0,3.0,62173,11.0,8.0,0,0
15230,44.0,0.0,3.0,3.0,58085,5.0,4.0,0,0
11784,24.0,1.0,1.0,0.0,137100,15.0,1.0,1,1
2460,60.0,0.0,2.0,0.0,42202,12.0,8.0,0,0
15618,31.0,0.0,0.0,3.0,89946,16.0,1.0,0,0
6786,26.0,0.0,2.0,0.0,109867,16.0,9.0,1,1
13340,18.0,0.0,2.0,0.0,30038,17.0,5.0,0,0
5829,41.0,1.0,2.0,2.0,91754,16.0,6.0,1,1
17575,42.0,0.0,1.0,0.0,96170,9.0,9.0,1,1
7456,60.0,0.0,1.0,0.0,64153,10.0,9.0,0,0
19337,62.0,1.0,4.0,0.0,55186,5.0,3.0,0,0
6663,50.0,0.0,4.0,1.0,63886,3.0,2.0,0,0
16479,63.0,1.0,3.0,0.0,123779,17.0,9.0,1,1
13017,45.0,0.0,3.0,3.0,116311,3.0,1.0,1,1
7713,49.0,0.0,3.0,2.0,120026,4.0,8.0,1,1
18052,36.0,1.0,3.0,0.0,110732,1.0,5.0,1,1
5212,18.0,1.0,2.0,0.0,64682,3.0,5.0,0,0
12184,65.0,0.0,4.0,1.0,51391,20.0,5.0,0,0
3480,26.0,1.0,2.0,2.0,32024,17.0,8.0,0,0
16339,65.0,0.0,0.0,2.0,69808,16.0,3.0,0,0
16335,31.0,0.0,2.0,2.0,50324,17.0,6.0,0,0
16528,44.0,0.0,1.0,0.0,118990,1.0,6.0,1,1
18415,23.0,0.0,0.0,1.0,73022,3.0,4.0,0,0
4115,31.0,0.0,1.0,0.0,119907,19.0,3.0,1,1
5462,44.0,1.0,0.0,3.0,43795,17.0,6.0,0,0
11850,47.0,1.0,3.0,2.0,134676,9.0,4.0,1,1
8219,29.0,1.0,2.0,1.0,44679,19.0,5.0,0,0
1354,58.0,0.0,3.0,2.0,97729,16.0,1.0,1,1
14368,42.0,0.0,0.0,2.0,94681,8.0,2.0,1,1
12918,27.0,1.0,1.0,1.0,103742,19.0,5.0,0,1
12028,62.0,1.0,1.0,3.0,130004,7.0,3.0,1,1
10226,47.0,0.0,3.0,0.0,50690,6.0,3.0,0,0
8426,34.0,0.0,2.0,2.0,86241,19.0,7.0,0,0
718,,,,,37358,,,0,0
8485,21.0,0.0,1.0,1.0,141944,19.0,1.0,1,1
11106,60.0,1.0,2.0,0.0,101186,5.0,6.0,1,1
3079,60.0,0.0,2.0,2.0,58180,14.0,7.0,0,0
1426,27.0,1.0,3.0,1.0,139416,5.0,5.0,1,1
14998,22.0,1.0,1.0,0.0,90104,20.0,5.0,0,0
19384,31.0,0.0,0.0,3.0,37426,18.0,6.0,0,0
13507,51.0,0.0,2.0,2.0,104922,20.0,3.0,1,1
2299,44.0,1.0,3.0,3.0,36155,8.0,5.0,0,0
17883,63.0,1.0,3.0,0.0,67191,7.0,7.0,0,0
15082,31.0,0.0,1.0,1.0,49341,8.0,7.0,0,0
3013,59.0,1.0,4.0,0.0,55170,17.0,4.0,0,0
12774,22.0,0.0,0.0,1.0,118221,10.0,7.0,1,1
10536,32.0,1.0,2.0,2.0,110819,14.0,2.0,1,1
16836,24.0,0.0,4.0,2.0,82803,19.0,1.0,0,0
7476,38.0,1.0,2.0,0.0,86393,4.0,8.0,0,0
7354,25.0,0.0,4.0,3.0,53166,18.0,8.0,0,0
5243,46.0,1.0,2.0,2.0,73799,13.0,7.0,0,0
3466,37.0,1.0,3.0,2.0,112618,2.0,10.0,1,1
8620,44.0,0.0,0.0,2.0,81703,12.0,10.0,0,0
5307,57.0,1.0,1.0,1.0,83460,6.0,10.0,0,0
13222,31.0,0.0,0.0,1.0,115039,17.0,2.0,1,1
7056,45.0,0.0,2.0,0.0,69792,8.0,1.0,0,0
4861,52.0,1.0,2.0,2.0,85622,4.0,2.0,0,0
15485,53.0,1.0,1.0,2.0,89895,11.0,5.0,0,0
15030,41.0,0.0,2.0,2.0,112644,1.0,7.0,1,1
7253,18.0,1.0,1.0,2.0,35878,20.0,7.0,0,0
6359,24.0,0.0,2.0,2.0,148571,12.0,7.0,1,1
17634,48.0,0.0,2.0,3.0,118242,17.0,4.0,1,1
9938,30.0,1.0,1.0,3.0,61170,2.0,2.0,0,0
15277,46.0,1.0,2.0,1.0,127552,18.0,9.0,1,1
13672,29.0,0.0,2.0,0.0,70078,5.0,1.0,0,0
5618,52.0,0.0,1.0,0.0,133062,6.0,4.0,1,1
14835,42.0,1.0,2.0,0.0,100650,10.0,4.0,1,1
17210,18.0,0.0,3.0,2.0,76997,13.0,6.0,0,0
2907,29.0,0.0,2.0,0.0,94316,9.0,4.0,1,1
1439,22.0,0.0,3.0,3.0,139778,19.0,7.0,1,1
12691,31.0,0.0,0.0,3.0,128121,5.0,5.0,1,1
16086,43.0,1.0,2.0,2.0,56784,7.0,1.0,0,0
1134,47.0,0.0,2.0,1.0,30303,15.0,5.0,0,0
6878,42.0,0.0,0.0,0.0,55465,16.0,2.0,0,0
